POSTAL PATRON,PO BOX NO,LYONS  GA   30436,OPEN,OPEN,CITY CODE,LABEL STOP,SELECT CODE,WALK SEQ.,TAG
,505,,,,LSC,,AF,815,X
,512,,,,LSC,,AF,582,
,513,,,,LSC,,AF,584,
,514,,,,LSC,,AF,820,X
,515,,,,LSC,,AF,825,X
,516,,,,LSC,,AF,590,
,518,,,,LSC,,AF,830,X
,519,,,,LSC,,AF,594,
,521,,,,LSC,,AF,835,X
,522,,,,LSC,,AF,598,
,523,,,,LSC,,AF,840,X
,524,,,,LSC,,AF,602,
,525,,,,LSC,,AF,604,
,526,,,,LSC,,AF,845,X
,527,,,,LSC,,AF,608,
,528,,,,LSC,,AF,850,X
,530,,,,LSC,,AF,612,
,531,,,,LSC,,AF,614,
,532,,,,LSC,,AF,855,X
,533,,,,LSC,,AF,860,X
,534,,,,LSC,,AF,620,
,535,,,,LSC,,AF,865,X
,541,,,,LSC,,AF,870,X
,542,,,,LSC,,AF,875,X
,543,,,,LSC,,AF,880,X
,545,,,,LSC,,AF,885,X
,546,,,,LSC,,AF,890,X
,549,,,,LSC,,AF,634,
,END PO D,,,,LSD,,AG,892,X
,602,,,,LSD,,AH,905,X
,601,,,,LSD,,AH,900,X
,604,,,,LSD,,AH,915,X
,605,,,,LSD,,AH,920,X
,611,,,,LSD,,AH,925,X
,615,,,,LSD,,AH,935,X
,614,,,,LSD,,AH,930,X
,621,,,,LSD,,AH,938,X
,622,,,,LSD,,AH,830,
,623,,,,LSD,,AH,940,X
,624,,,,LSD,,AH,945,X
,625,,,,LSD,,AH,950,X
,626,,,,LSD,,AH,955,X
,628,,,,LSD,,AH,810,
,629,,,,LSD,,AH,960,X
,631,,,,LSD,,AH,814,
,632,,,,LSD,,AH,970,X
,633,,,,LSD,,AH,820,
,634,,,,LSD,,AH,816,
,635,,,,LSD,,AH,975,X
,641,,,,LSD,,AH,806,
,642,,,,LSD,,AH,980,X
,643,,,,LSD,,AH,800,
,644,,,,LSD,,AH,808,
,645,,,,LSD,,AH,804,
,651,,,,LSD,,AH,985,
,652,,,,LSD,,AH,790,
,653,,,,LSD,,AH,786,
,654,,,,LSD,,AH,990,X
,655,,,,LSD,,AH,784,
,657,,,,LSD,,AH,1000,X
,658,,,,LSD,,AH,1005,X
,659,,,,LSD,,AH,796,
,660,,,,LSD,,AH,1010,X
,661,,,,LSD,,AH,1015,X
,662,,,,LSD,,AH,1020,X
,663,,,,LSD,,AH,772,
,664,,,,LSD,,AH,780,
,665,,,,LSD,,AH,1025,X
,666,,,,LSD,,AH,758,
,667,,,,LSD,,AH,766,
,668,,,,LSD,,AH,1030,X
,671,,,,LSD,,AH,1040,X
,672,,,,LSD,,AH,768,
,673,,,,LSD,,AH,764,
,674,,,,LSD,,AH,746,
,675,,,,LSD,,AH,1045,X
,681,,,,LSD,,AH,750,
,682,,,,LSD,,AH,748,
,683,,,,LSD,,AH,756,
,684,,,,LSD,,AH,1050,X
,685,,,,LSD,,AH,734,
,687,,,,LSD,,AH,742,
,688,,,,LSD,,AH,738,
,689,,,,LSD,,AH,1060,X
,691,,,,LSD,,AH,744,
,692,,,,LSD,,AH,1070,X
,693,,,,LSD,,AH,1075,X
,694,,,,LSD,,AH,1080,X
,695,,,,LSD,,AH,726,
,696,,,,LSD,,AH,1085,X
,697,,,,LSD,,AH,732,
,698,,,,LSD,,AH,1090,X
,699,,,,LSD,,AH,714,
,701,,,,LSD,,AH,1095,X
,702,,,,LSD,,AH,1100,X
,703,,,,LSD,,AH,1101,x
,704,,,,LSD,,AH,1105,X
,705,,,,LSD,,AH,710,
,711,,,,LSD,,AH,706,
,712,,,,LSD,,AH,704,
,713,,,,LSD,,AH,712,
,714,,,,LSD,,AH,708,
,715,,,,LSD,,AH,690,
,716,,,,LSD,,AH,1110,X
,,,,,,,,,
,718,,,,LSD,,AH,1120,X
,720,,,,LSD,,AH,1125,X
,END PO E,,,,LSE,,AI,1127,X
,801,,,,LSE,,AJ,1130,X
,803,,,,LSE,,AJ,1133,X
,804,,,,LSE,,AJ,1135,X
,805,,,,LSE,,AJ,1140,X
,806,,,,LSE,,AJ,918,
,808,,,,LSE,,AJ,916,
,811,,,,LSE,,AJ,1145,X
,812,,,,LSE,,AJ,1150,X
,814,,,,LSE,,AJ,910,
,815,,,,LSE,,AJ,1160,X
,816,,,,LSE,,AJ,1165,X
,817,,,,LSE,,AJ,1170,X
,818,,,,LSE,,AJ,924,
,819,,,,LSE,,AJ,932,
,821,,,,LSE,,AJ,928,
,822,,,,LSE,,AJ,1175,X
,823,,,,LSE,,AJ,934,
,824,,,,LSE,,AJ,942,
,825,,,,LSE,,AJ,938,
,826,,,,LSE,,AJ,940,
,827,,,,LSE,,AJ,936,
,828,,,,LSE,,AJ,900,
,831,,,,LSE,,AJ,896,
,832,,,,LSE,,AJ,898,
,833,,,,LSE,,AJ,1180,X
,834,,,,LSE,,AJ,1185,X
,835,,,,LSE,,AJ,1190,X
,836,,,,LS5,X,AJ,,
,837,,,,LSE,,AJ,1195,X
,838,,,,LSE,,AJ,884,
,839,,,,LSE,,AJ,880,
,841,,,,LSE,,AJ,1200,X
,842,,,,LSE,,AJ,1205,X
,843,,,,LSE,,AJ,876,
,844,,,,LSE,,AJ,1210,X
,845,,,,LSE,,AJ,874,
,851,,,,LSE,,AJ,870,
,852,,,,LSE,,AJ,868,
,853,,,,LSE,,AJ,866,
,854,,,,LSE,,AJ,1215,X
,855,,,,LSE,,AJ,860,
,861,,,,LSE,,AJ,862,
,862,,,,LSE,,AJ,1220,X
,863,,,,LSE,,AJ,856,
,864,,,,LSE,,AJ,1225,X
,866,,,,LSE,,AJ,1230,X
,868,,,,LSE,,AJ,1235,X
,869,,,,LSE,,AJ,970,
,870,,,,LSE,,AJ,1240,X
,871,,,,LSE,,AJ,968,
,872,,,,LSE,,AJ,1245,X
,873,,,,LSE,,AJ,1250,X
,874,,,,LSE,,AJ,1255,X
,875,,,,LSE,,AJ,962,
,881,,,,LSE,,AJ,1260,X
,882,,,,LSE,,AJ,956,
,883,,,,LSE,,AJ,1265,X
,884,,,,LSE,,AJ,1270,X
,885,,,,LSE,,AJ,1275,X
,891,,,,LSE,,AJ,1280,X
,892,,,,LSE,,AJ,1285,X
,893,,,,LSE,,AJ,946,
,1113,,,,LSF,,AJ,1320,
,1052,,,,LSF,,AJ,1300,X
,1081,,,,LSF,,AJ,1315,X
,1195,,,,LSF,,AJ,1395,X
,1074,,,,LSF,,AJ,1310,X
,1193,,,,LSF,,AJ,1390,X
,1068,,,,LSF,,AJ,1305,X
,1208,,,,LSF,,AJ,1410,X
,1,,,,LSA,,AB,5,x
,9,,,,LSA,,AB,10,X
,15,,,,LSA,,AB,256,
,29,,,,LSA,,AB,254,
,61,,,,LSA,,AF,206,
,65,,,,LSA,,AB,65,X
,66,,,,LSA,,AB,250,
,67,,,,LSA,,AB,248,
,68,,,,LSA,,AB,246,
,69,,,,LSA,,AB,75,X
,72,,,,LSA,,AB,242,
,108,,,,LSA,,AB,130,X
,109,,,,LSA,,AF,204,
,127,,,,LSA,,AB,236,
,129,,,,LSA,,AB,238,
,142,,,,LSA,,AB,234,
,143,,,,LSA,,AB,232,
,144,,,,LSA,,AB,230,
,151,,,,LSA,,AB,228,
,152,,,,LSA,,AB,200,X
,168,,,,LSA,,AB,224,
,192,,,,LSA,,AB,222,
,204,,,,LSA,,AB,220,
,205,,,,LSA,,AB,218,
,208,,,,LSA,,AB,295,X
,212,,,,LSA,,AB,214,
,227,,,,LSA,,AB,212,
,229,,,,LSA,,AB,360,X
,232,,,,LSA,,AB,370,X
,241,,,,LSB,,AD,384,
,249,,,,LSB,,AD,388,
,254,,,,LSB,,AD,390,
,281,,,,LSB,,AD,450,X
,282,,,,LSB,,AD,453,x
,283,,,,LSB,,AD,455,X
,285,,,,LSB,,AD,396,
,303,,,,LSB,,AD,398,
,305,,,,LSB,,AD,400,X
,309,,,,LSB,,AD,402,
,312,,,,LSB,,AD,404,
,344,,,,LSB,,AD,406,
,345,,,,LSB,,AD,408,
,349,,,,LSB,,AD,416,
,386,,,,LSB,,AD,565,X
,388,,,,LSB,,AD,412,
,392,,,,LSB,,AD,585,X
,401,,,,LSC,,AF,646,
,406,,,,LSC,,AF,648,X
,441,,,,LSC,,AF,642,
,454,,,,LSC,,AF,644,
,458,,,,LSC,,AF,715,X
,459,,,,LSC,,AF,720,X
,471,,,,LSC,,AF,750,X
,481,,,,LSC,,AF,652,
,487,,,,LSC,,AF,770,X
,502,,,,LSC,,AF,810,X
,511,,,,LSC,,AF,654,
,517,,,,LSC,,AF,828,x
,529,,,,LSC,,AF,662,
,544,,,,LSC,,AF,664,
,547,,,,LSC,,AF,660,
,510,,,,LSC,,AF,,
,520,,,,LSC,,AF,,
,540,,,,LSC,,AF,,
,550,,,,LSC,,AF,,
,560,,,,LSC,,AF,,
,603,,,,LSD,,AH,910,X
,612,,,,LSD,,AH,682,
,613,,,,LSD,,AH,686,
,627,,,,LSD,,AH,684,
,630,,,,LSD,,AH,965,
,656,,,,LSD,,AH,995,X
,669,,,,LSD,,AH,1035,X
,690,,,,LSD,,AH,1065,X
,686,,,,LSD,,AH,1055,X
,719,,,,LSD,,AH,1123,X
,802,,,,LSE,,AJ,998,
,807,,,,LSE,,AJ,994,
,813,,,,LSE,,AJ,1155,X
,865,,,,LSE,,AJ,992,
,867,,,,LSE,,AJ,988,
,894,,,,LSE,,AJ,1290,X
