ADDRESS,SORT CODE,CITY RTE
912 BELL AVE.,1368,1
916 BELL AVE.,1366,1
918 BELL AVE.,1364,1
917 BELL AVE.,1358,1
919 BELL AVE.,1360,1
1001 BELL AVE.,1362,1
1001 E. MAIN ST.,1396,1
917 E. MAIN ST.,1394,1
915 E. MAIN ST.,1392,1
913 E. MAIN ST.,1390,1
911 E. MAIN ST.,1388,1
909 E. MAIN ST.,1386,1
907 E. MAIN ST.,1384,1
905 E. MAIN ST.,1382,1
301 EDWIN ST.,1402,1
206 HUGHES ST.,1404,1
205 HUGHES ST.,1410,1
204 HUGHES ST.,1406,1
207 HUGHES ST.,1408,1
204 LAKE DR.,1412,1
302 LAKE DR.,1414,1
101 MORGAN DR.,1418,1
402 LAKE DR.,1416,1
1002 FLORIDA AVE.,1420,1
1004 FLORIDA AVE.,1422,1
1008 FLORIDA AVE.,1424,1
1009 FLORIDA AVE.,1426,1
1013 FLORIDA AVE.,1428,1
602 EDWIN ST.,1232,1
501 EDWIN ST.,1432,1
203 MORGAN ST.,1436,1
205 MORGAN ST.,1438,1
204 MORGAN ST.,1450,1
415 WOODLAND DR.,1440,1
312 WOODLAND DR.,1442,1
301 WOODLAND DR.,1444,1
201 WOODLAND DR.,1446,1
401 WOODLAND DR.,1448,1
415 EDWIN ST.,1452,1
408 EDWIN ST.,1454,1
406 EDWIN ST.,1456,1
413 EDWIN ST.,1458,1
404 EDWIN ST.,1460,1
402 EDWIN ST.,1464,1
411 EDWIN ST.,1462,1
304 EDWIN ST.,1466,1
300 EDWIN ST.,1468,1
204 EDWIN ST.,1470,1
202 EDWIN ST.,1472,1
109 WOODLAWN DR.,1474,1
103 WOODLAWN DR.,1476,1
104 WOODLAWN DR.,1478,1
102 WOODLAWN DR.,1480,1
202 LAKE DR.,1482,1
102 LAKE DR.,1484,1
805 BELL AVE.,1486,1
712 BELL AVE.,1488,1
709 BELL AVE.,1490,1
708 BELL AVE.,1492,1
705 BELL AVE.,1294,1
501 BELL AVE.,1496,1
704 RAILROAD AVE. LOT 1,1518,1
704 RAILROAD AVE. LOT 2,1520,1
704 RAILROAD AVE. LOT 3,1522,1
704 RAILROAD AVE. LOT 4,1524,1
704 RAILROAD AVE. LOT 5,1526,1
