STREET ADDRESS,WALK SEQ.,CITY CODE
718 COBBTOWN RD.,772,1
720 CRESCENT DR.,774,1
721 CRESCENT DR.,776,1
723 CRESCENT DR.,778,1
722 CRESCENT DR.,780,1
724 CRESCENT DR.,782,1
725 CRESCENT DR.,784,1
726 CRESCENT DR.,786,1
727 CRESCENT DR.,788,1
719 CRESCENT DR.,790,1
717 CRESCENT DR.,792,1
713 CRESCENT DR. APT.1,794,1
711 CRESCENT DR.,796,1
709 CRESCENT DR.,798,1
707 CRESCENT DR.,800,1
705 CRESCENT DR.,802,1
101 BEECHWOOD DR.,676,1
103 BEECHWOOD DR.,678,1
105 BEECHWOOD DR.,680,1
107 BEECHWOOD DR.,682,1
205 BEECHWOOD DR.,686,1
305 BEECHWOOD DR.,688,1
309 BEECHWOOD DR.,690,1
310 BEECHWOOD DR.,692,1
306 BEECHWOOD DR.,694,1
100 CASCADE DR.,696,1
107 CASCADE DR.,698,1
105 CASCADE DR.,700,1
210 BEECHWOOD DR.,702,1
208 BEECHWOOD DR.,704,1
206 BEECHWOOD DR.,706,1
110 KENT DR.,708,1
108 KENT DR.,710,1
106 KENT DR.,712,1
104 KENT DR.,714,1
102 KENT DR.,716,1
109 HILTON CT.,718,1
109 HILTON DR.,720,1
113 HILTON DR.,722,1
121 CASCADE DR.,724,1
118 HILTON DR.,726,1
114 HILTON DR.,728,1
112 HILTON DR.,730,1
108 HILTON DR.,732,1
106 HILTON DR.,734,1
104 HILTON DR.,736,1
102 HILTON DR.,738,1
101 KENT DR.,744,1
103 KENT DR.,746,1
105 KENT DR.,748,1
109 KENT DR.,750,1
111 KENT DR.,752,1
104 BEECHWOOD DR.,754,1
1110 OHOOPEE RD.,674,1
401 N. STATE,1248,2
1108 OHOOPEE RD.,672,1
1106 OHOOPEE RD.,670,1
1104 OHOOPEE RD.,740,1
1100 OHOOPEE RD.,742,1
705 E. BROAD ST.,806,1
603 E. BROAD ST.,808,1
103 N. MONROE ST.,810,1
105 N. MONROE ST.,812,1
107 N. MONROE ST.,814,1
109 N. MONROE ST.,816,1
608 E. COLUMBIA AVE.,818,1
610 E. COLUMBIA AVE.,820,1
106 N. 10TH ST.,822,1
613 E. COLUMBIA AVE.,824,1
616 N LEXINGTON APT. A,1450,2
108 PECAN PLACE,452,1
206 N. MONROE ST.,826,1
204 N. MONROE ST.,828,1
517 E. COLUMBIA AVE.,830,1
511 E. COLUMBIA AVE.,832,1
507 E. COLUMBIA AVE. APT.1,834,1
201 N. MADISON ST.,838,1
203 N. MADISON ST.,840,1
209 N. MADISON ST.,844,1
413 E. COLUMBIA AVE.,846,1
411 E. COLUMBIA AVE.,848,1
409 E. COLUMBIA AVE.,850,1
407 E. COLUMBIA AVE.,852,1
407.5 E. COLUMBIA AVE.,854,1
215 N. HALL ST.,856,1
404 E. WESLEY AVE.,858,1
203 N. JEFFERSON ST. APT. A,1038,2
410 E. WESLEY AVE.,860,1
508 E. WESLEY AVE.,862,1
514 E. WESLEY AVE.,864,1
516 E. WESLEY AVE.,866,1
606 E. WESLEY AVE.,868,1
208 10TH ST.,870,1
209 10TH ST.,872,1
303 N. 10TH ST.,874,1
609 E. WESLET AVE. APT.1,876,1
609 E. WESLEY AVE. APT.2,878,1
607 E. WESLEY AVE.,880,1
605 E. WESLEY AVE.,884,1
601 E. WESLEY AVE.,882,1
303 N. MONROE ST.,886,1
302 N. MONROE ST.,888,1
519 E. WESLEY AVE.,890,1
515 E. WESLEY AVE.,892,1
513 E. WESLEY AVE.,894,1
501 E. WESLEY AVE.,896,1
419 E. WESLEY AVE.,898,1
411 E. WESLEY AVE.,900,1
409 E. WESLEY AVE.,902,1
405 E. WESLEY AVE.,904,1
319 E. WESLEY AVE.,906,1
317 E. WESLEY AVE.,908,1
313 E. WESLEY AVE.,910,1
401 E. OGLETHORPE AVE.,912,1
210 N. HALL ST.,914,1
208 N. HALL ST.,916,1
108 N. HALL ST.,918,1
104 N. HALL ST.,920,1
404 E. COLUMBIA AVE.,922,1
408 E. COLUMBIA AVE.,924,1
410 E. COLUMBIA AVE.,926,1
422 E. COLUMBIA AVE.,928,1
108 N. MADISON ST.,930,1
418 E. COLUMBIA LN.,932,1
420 E. COLUMBIA LN.,934,1
103 N. MADISON ST.,936,1
105 N. MADISON ST.,938,1
109 N. MADISON ST.,940,1
506 E. COLUMBIA AVE.,942,1
104 N. MONROE ST.,944,1
102 N. MONROE ST.,946,1
524 NE BROAD ST.,948,1
507 E. BROAD ST. APT.1,950,1
101 N. LEXINGTON ST.,952,1
LYONS CITY 2 #################,1000,2
211 W. BROAD ST.,1002,2
301 W. BROAD ST.,1004,2
303 W. BROAD ST.,1006,2
305 W. BROAD ST.,1008,2
105 N. JEFFERSON ST.,1010,2
400 W. COLUMBIA AVE.,1050,2
401 W. COLUMBIA AVE.,1052,2
403 W. COLUMBIA AVE.,1054,2
404 W. COLUMBIA AVE.,1056,2
410 W. COLUMBIA AVE.,1058,2
201 N. VICTORY DR.,1060,2
101 N. VICTORY DR.,1064,2
105 N. VICTORY DR.,1062,2
103 W. DONOVAN AVE.,1066,2
105 W. DONOVAN AVE.,1068,2
107 W. DONOVAN AVE.,1070,2
109 W. DONOVAN AVE.,1072,2
103 N. JOHNSON ST.,1074,2
105 N. JOHNSON ST.,1076,2
508 W. COLUMBIA AVE.,1078,2
506 W. COLUMBIA AVE.,1080,2
504 W. COLUMBIA AVE.,1082,2
505 W. COLUMBIA AVE.,1084,2
507 W. COLUMBIA AVE.,1086,2
509 W. COLUMBIA AVE.,1088,2
201 N. JOHNSON ST.,1090,2
203 N. JOHNSON ST.,1092,2
205 N. JOHNSON ST.,1094,2
508 W. WESLEY AVE.,1096,2
506 W. WESLEY AVE.,1098,2
503 W. WESLEY AVE.,1100,2
505 W. WESLEY AVE.,1102,2
301 N. JOHNSON ST.,1104,2
307 N. JOHNSON ST.,1106,2
600 W. OGLETHORPE AVE.,1108,2
