OPEN,PO BOX NO,OPEN,OPEN,OPEN,CITY CODE,LABEL STOP,OPEN,SORT CODE,TAG
,552,,,,VSF,,AL,806,X
,483,,,,VSE,,AJ,726,X
,487,,,,VSE,,AJ,734,X
,480,,,,VSE,,,723,x
,489,,,,VSE,,AJ,738,X
,491,,,,VSE,,AJ,740,x
,501,,,,VSE,,AJ,744,
,502,,,,VSE,,AJ,746,X
,504,,,,VSE,,AJ,750,
,2725,,,,VST,,,2997,
,511,,,,VSE,,AJ,760,
,512,,,,VSE,,AJ,762,X
,521,,,,VSF,,AL,766,X
,523,,,,VSF,,AL,770,
,524,,,,VSF,,AL,772,
,527,,,,VSF,,AL,778,X
,528,,,,VSF,,AL,780,X
,531,,,,VSF,,AL,784,X
,532,,,,VSF,,AL,786,
,541,,,,VSF,,AL,788,
,544,,,,VSF,,AL,794,
,548,,,,VSF,,AL,802,X
,551,,,,VSF,,AL,804,X
,561,,,,VSF,,AL,808,X
,562,,,,VSF,,AL,810,
,567,,,,VSF,,AL,820,X
,571,,,,VSF,,AL,826,
,582,,,,VSF,,AL,832,X
,585,,,,VSF,,AL,838,X
,586,,,,VSF,,AL,840,
,587,,,,VSF,,AL,842,X
,603,,,,VSG,,AN,856,X
,602,,,,VSG,,AN,854,
,608,,,,VSG,,AN,866,
,611,,,,VSG,,AN,870,X
,612,,,,VSG,,AN,872,X
,150 (E),,,,VSB,,AD,256,X
,622,,,,VSG,,AN,880,X
,621,,,,VSG,,AN,878,X
,624,,,,VSG,,AN,884,
,625,,,,VSG,,AN,886,
,626,,,,VSG,,AN,888,X
,627,,,,VSG,,AN,890,
,629,,,,VSG,,AN,894,
,633,,,,VSG,,AN,900,X
,634,,,,VSG,,AN,902,X
,641,,,,VSG,,AN,904,X
,642,,,,VSG,,AN,906,X
,643,,,,VSG,,AN,908,
,644,,,,VSG,,AN,910,
,647,,,,VSG,,AN,916,X
,649,,,,VSG,,AN,920,
,651,,,,VSG,,AN,922,
,45,,,,VSA,,AB,84,
,663,,,,VSG,,AN,934,X
,664,,,,VSG,,AN,936,
,666,,,,VSG,,AN,940,X
,401,,,,VSD,,AH,642,
,681,,,,VSH,,AP,958,
,682,,,,VSH,,AP,960,X
,569,,,,VSF,X,AL,,
,686,,,,VSH,,AP,968,X
,690,,,,VSH,,AP,976,X
,688,,,,VSH,,AP,972,X
,691,,,,VSH,,AP,978,X
,692,,,,VSH,,AP,980,
,693,,,,VSH,,AP,982,X
,694,,,,VSH,,AP,984,
,695,,,,VSH,,AP,986,
,701,,,,VSH,,AP,988,
,702,,,,VSH,,AP,990,
,703,,,,VSH,,AP,992,
,704,,,,VSH,,AP,994,X
,705,,,,VSH,,AP,996,
,706,,,,VSH,,AP,998,
,707,,,,VSH,,AP,1000,
,708,,,,VSH,,AP,1002,X
,241,,,,VSC,,AF,404,
,712,,,,VSH,,AP,1008,X
,714,,,,VSH,,AP,1012,X
,715,,,,VSH,,AP,1014,X
,717,,,,VSH,,AP,1018,X
,718,,,,VSH,,AP,1020,
,719,,,,VSH,,AP,1022,
,721,,,,VSH,,AP,1026,
,723,,,,VSH,,AP,1030,X
,724,,,,VSH,,AP,1032,
,725,,,,VSH,,AP,1034,
,732,,,,VSH,,AP,1038,X
,733,,,,VSH,,AP,1040,X
,734,,,,VSH,,AP,1042,
,735,,,,VSH,,AP,1044,
,70,,,,VSA,X,AV,,
,738,,,,VSH,,AP,1048,
,739,,,,VSH,,AP,1050,X
,741,,,,VSH,,AP,1052,
,743,,,,VSH,,AP,1056,
,314,,,,VSC,,AF,528,
,745,,,,VSH,,AP,1060,X
,747,,,,VSH,,AP,1064,X
,749,,,,VSH,,AP,1068,X
,751,,,,VSH,,AP,1072,
,752,,,,VSH,,AP,1074,
,754,,,,VSH,,AP,1078,
,761,,,,VSH,,AP,1082,
,762,,,,VSH,,AP,1084,X
,763,,,,VSH,,AP,1086,
,505,,,,VSE,,AJ,752,X
,764,,,,VSH,,AP,1088,X
,766,,,,VSH,,AP,1092,X
,768,,,,VSH,,AP,1096,
,769,,,,VSH,,AP,1098,
,771,,,,VSH,,AP,1100,X
,772,,,,VSH,,AP,1102,X
,774,,,,VSH,,AP,1106,
,776,,,,VSH,,AP,1110,
,777,,,,VSH,,AP,1112,
,778,,,,VSH,,AP,1114,
,779,,,,VSH,,AP,1116,
,780,,,,VSH,,AP,1118,X
,781,,,,VSH,,AP,1120,X
,782,,,,VSH,,AP,1122,
,,,,,,,,,
,785,,,,VSH,,AP,1128,X
,791,,,,VSH,,AP,1130,X
,792,,,,VSH,,AP,1132,
,793,,,,VSH,,AP,1134,X
,794,,,,VSH,,AP,1136,X
,795,,,,VSH,,AP,1138,X
,796,,,,VSH,,AP,1140,
,797,,,,VSH,,AP,1142,X
,798,,,,VSH,,AP,1144,
,799,,,,VSH,,AP,1146,X
,801,,,,VSI,,AR,1152,
,803,,,,VSI,,AR,1156,X
,804,,,,VSI,,AR,1158,X
,807,,,,VSI,,AR,1164,
,808,,,,VSI,,AR,1166,
,809,,,,VSI,,AR,1168,
,811,,,,VSI,,AR,1172,
,1825,,,,vsq,,,2570,
,813,,,,VSI,,AR,1176,
,814,,,,VSI,,AR,1178,X
,815,,,,VSI,,AR,1180,
,821,,,,VSI,,AR,1182,X
,822,,,,VSI,,AR,1184,X
,824,,,,VSI,,AR,1188,
,825,,,,VSI,,AR,1190,X
,826,,,,VSI,,AR,1192,
,827,,,,VSI,,AR,1194,
,828,,,,VSI,,AR,1196,X
,829,,,,VSI,,AR,1198,
,831,,,,VSI,,AR,1200,
,832,,,,VSI,,AR,1203,
,833,,,,VSI,,AR,1204,
,834,,,,VSI,,AR,1206,
,425,,,,VSB,,AH,670,
,836,,,,VSI,,AR,1210,x
,838,,,,VSI,,AR,1214,x
,839,,,,VSI,,AR,1216,x
,840,,,,VSI,,AR,1218,
,841,,,,VSI,,AR,1220,
,842,,,,VSI,,AR,1222,x
,843,,,,VSI,,AR,1224,x
,844,,,,VSI,,AR,1226,x
,851,,,,VSI,,AR,1228,X
,852,,,,VSI,,AR,1230,x
,853,,,,VSI,,AR,1232,X
,854,,,,VSI,,AR,1234,x
,855,,,,VSI,,AR,1236,
,857,,,,VSI,,AR,1240,
,858,,,,VSI,,AR,1242,x
,861,,,,VSI,,AR,1246,
,862,,,,VSI,,AR,1248,
,863,,,,VSI,,AR,1250,
,864,,,,VSI,,AR,1252,X
,865,,,,VSI,,AR,1254,
,866,,,,VSI,,AR,1256,x
,867,,,,VSI,,AR,1258,x
,868,,,,VSI,,AR,1260,x
,869,,,,VSI,,AR,1262,
,872,,,,VSI,,AR,1268,
,873,,,,VSI,,AR,1270,
,874,,,,VSI,,AR,1272,
,875,,,,VSI,,AR,1274,x
,882,,,,VSI,,AR,1278,
,884,,,,VSI,,AR,1282,
,885,,,,VSI,,AR,1284,
,886,,,,VSI,,AR,1286,
,887,,,,VSI,,AR,1288,
,889,,,,VSI,,AR,1292,
,891,,,,VSI,,AR,1294,
,892,,,,VSI,,AR,1296,x
,893,,,,VSI,,AR,1298,
,894,,,,VSI,,AR,1300,x
,895,,,,VSI,,AR,1302,x
,896,,,,VSI,,AR,1304,X
,897,,,,VSI,,AR,1306,
,898,,,,VSI,,AR,1308,
,901,,,,VSI,,AR,1314,X
,902,,,,VSI,,AR,1316,
,903,,,,VSI,,AR,1318,X
,905,,,,VSI,,AR,1322,
,904,,,,VSI,,AR,1320,
,911,,,,VSI,,AR,1324,
,912,,,,VSI,,AR,1326,X
,913,,,,VSI,,AR,1328,X
,914,,,,VSI,,AR,1330,X
,915,,,,VSI,,AR,1332,
,917,,,,VSI,,AR,1336,
,919,,,,VSI,,AR,1340,
,921,,,,VSJ,,AT,1344,
,923,,,,VSJ,,AT,1348,
,924,,,,VSJ,,AT,1350,
,925,,,,VSJ,,AT,1352,
,927,,,,VSJ,,AT,1356,
,129,,,,VSJ,,AT,1360,
,930,,,,VSJ,,AT,1362,X
,931,,,,VSJ,,AT,1364,X
,933,,,,VSJ,,AT,1368,
,934,,,,VSJ,,AT,1370,
,935,,,,VSJ,,AT,1372,X
,941,,,,VSJ,,AT,1374,
,942,,,,VSJ,,AT,1376,
,943,,,,VSJ,,AT,1378,
,945,,,,VSJ,,AT,1382,
,946,,,,VSJ,,AT,1384,
,947,,,,VSJ,,AT,1386,X
,948,,,,VSJ,,AT,1388,
,949,,,,VSJ,,AT,1390,
,950 (M),,,,VSJ,,AT,1393,
,951,,,,VSJ,,AT,1394,X
,952,,,,VSJ,,AT,1396,
,953,,,,VSJ,,AT,1398,X
,954,,,,VSJ,,AT,1400,X
,955,,,,VSJ,,AT,1402,
,956,,,,VSJ,,AT,1404,X
,957,,,,VSJ,,AT,1406,x
,958,,,,VSJ,,AT,1408,
,959,,,,VSJ,,AT,1410,
,960,,,,VSJ,,AT,1412,X
,961,,,,VSJ,,AT,1416,X
,962,,,,VSJ,,AT,1418,
,542,,,,VSE,,AJ,790,
,965,,,,VSJ,,AT,1424,
,971,,,,VSJ,,AT,1426,
,972,,,,VSJ,,AT,1428,X
,973,,,,VSJ,,AT,1430,
,974,,,,VSJ,,AT,1432,
,975,,,,VSJ,,AT,1434,X
,976,,,,VSJ,,AT,1436,
,977,,,,VSJ,,AT,1438,
,978,,,,VSJ,,AT,1440,X
,980 (N),,,,VSJ,,AT,1444,
,981,,,,VSJ,,AT,1446,
,982,,,,VSJ,,AT,1448,X
,983,,,,VSJ,,AT,1450,
,984,,,,VSJ,,AT,1452,X
,985,,,,VSJ,,AT,1454,x
,986,,,,VSJ,,AT,1456,X
,987,,,,VSJ,,AT,1458,
,988,,,,VSJ,,AT,1460,
,989,,,,VSJ,,AT,1462,X
,991,,,,VSJ,,AT,1466,
,522,,,,VSF,,AJ,768,X
,993,,,,VSJ,,AT,1468,
,994,,,,VSJ,,AT,1470,
,995,,,,VSJ,,AT,1472,
,1001,,,,VSJ,,AT,1474,
,1002,,,,VSJ,,AT,1476,X
,1003,,,,VSJ,,AT,1478,
,1004,,,,VSJ,,AT,1480,
,1005,,,,VSJ,,AT,1482,
,1006,,,,VSJ,,AT,1484,X
,1007,,,,VSJ,,AT,1486,X
,665,,,,VSG,,AN,938,X
,1011,,,,VSJ,,AT,1494,X
,1012,,,,VSJ,,AT,1496,X
,1013,,,,VSJ,,AT,1498,
,1014,,,,VSJ,,AT,1500,X
,1017,,,,VSJ,,AT,1506,X
,1018,,,,VSJ,,AT,1508,
,1019,,,,VSJ,,AT,1510,X
,1021,,,,VSJ,,AT,1514,X
,1022,,,,VSJ,,AT,1516,
,1023,,,,VSJ,,AT,1518,X
,1024,,,,VSJ,,AT,1520,
,1025,,,,VSJ,,AT,1522,
,1031,,,,VSJ,,AT,1524,
,1032,,,,VSJ,,AT,1526,X
,1033,,,,VSJ,,AT,1528,X
,1034,,,,VSJ,,AT,1530,X
,1035,,,,VSJ,,AT,1532,
,1036,,,,VSJ,,AT,1534,X
,1037,,,,VSJ,,AT,1536,X
,1038,,,,VSJ,,AT,1538,
,1039,,,,VSJ,,AT,1540,X
,1041,,,,VSK,,AV,1544,X
,1042,,,,VSK,,AV,1546,
,1045,,,,VSK,,AV,1552,
,1063,,,,VSK,,AV,1568,X
,1047,,,,VSK,,AV,1556,X
,1048,,,,VSK,,AV,1558,
,1051,,,,VSK,,AV,1560,
,1052,,,,VSK,,AV,1562,
,1061,,,,VSK,,AV,1564,X
,1062,,,,VSK,,AV,1566,X
,1064,,,,VSK,,AV,1570,X
,1066,,,,VSK,,AV,1574,X
,1071,,,,VSK,,AV,1578,
,1072,,,,VSK,,AV,1580,X
,1081,,,,VSK,,AV,1582,
,1082,,,,VSK,,AV,1584,X
,1084,,,,VSK,,AV,1588,
,1085,,,,VSK,,AV,1590,X
,1086,,,,VSK,,AV,1592,X
,1087,,,,VSK,,AV,1594,X
,1088,,,,VSK,,AV,1596,
,1091,,,,VSK,,AV,1598,
,1092,,,,VSK,,AV,1600,
,1101,,,,VSK,,AV,1604,
,1102,,,,VSK,,AV,1606,
,1103,,,,VSK,,AV,1608,X
,1105,,,,VSK,,AV,1612,X
,1106,,,,VSK,,AV,1614,
,1111,,,,VSK,,AV,1616,
,1112,,,,VSK,,AV,1618,X
,1121,,,,VSL,,AX,1624,
,1124,,,,VSL,,AX,1630,
,1125,,,,VSL,,AX,1632,
,1126,,,,VSL,,AX,1634,
,1141,,,,VSL,,AX,1642,
,1142,,,,VSL,,AX,1644,
,1144,,,,VSL,,AX,1648,
,1145,,,,VSL,,AX,1650,
,1146,,,,VSL,,AX,1652,
,1147,,,,VSL,,AX,1654,X
,1152,,,,VSL,,AX,1658,X
,1161,,,,VSL,,AX,1660,
,1162,,,,VSL,,AX,1662,X
,1164,,,,VSL,,AX,1666,X
,1165,,,,VSL,,AX,1668,X
,1168,,,,VSL,,AX,1674,
,1171,,,,VSL,,AX,1676,X
,1172,,,,VSL,,AX,1678,X
,1181,,,,VSL,,AX,1680,X
,1182,,,,VSL,,AX,1682,X
,1183,,,,VSL,,AX,1684,
,1191,,,,VSL,,AX,1694,X
,1192,,,,VSL,,AX,1696,
